alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
1,350,4,0.030547,0.030059,0.060985,0.055834,0.052882,0.054742,0.182715,0.182250,0.182596,0.176089,0.344066,0.361189,0.591071,0.550171,110.077263,89.475495
1,512,8,0.108330,0.078425,0.137533,0.147745,0.148102,0.142000,0.448532,0.465607,0.443552,0.485430,0.875440,0.906453,1.433322,1.399812,219.800207,183.114864
1,512,8,0.081540,0.074362,0.155899,0.150153,0.147701,0.151800,0.471472,0.468480,0.475439,0.464318,0.878543,0.913786,1.440159,1.383931,234.843823,202.938389
1,512,8,0.066052,0.065531,0.119436,0.123952,0.126262,0.128934,0.392046,0.395958,0.394982,0.401722,0.748138,0.764334,1.137906,1.117008,87.639753,113.857532
1,512,8,0.067311,0.068634,0.123965,0.125683,0.125522,0.128207,0.399254,0.420716,0.400622,0.436761,0.768048,0.798449,1.223718,1.229872,231.792141,207.305008
1,512,16,0.106966,0.107339,0.224730,0.320962,0.211414,0.222129,0.694335,0.713250,0.716170,0.751337,1.306976,1.356435,2.242087,2.719132,325.008660,270.765744
1,512,16,0.102213,0.105622,0.225599,0.219602,0.202588,0.218414,0.687557,0.711374,0.709039,0.715953,1.288169,1.328405,2.163543,2.151181,306.912413,273.083428
1,256,32,0.105632,0.099111,0.219785,0.207675,0.226904,0.253687,0.643202,0.685895,0.699280,0.708685,1.243100,1.217200,1.989311,2.039040,248.522324,242.639028
1,300,30,0.128256,0.118156,0.227166,0.222049,0.214640,0.226018,0.712785,0.708356,0.741614,0.755039,1.345013,1.365661,2.211996,2.252649,268.471659,263.912545
1,1024,16,0.207584,0.199896,0.415369,0.404182,0.416194,0.421028,1.378347,1.378123,1.373168,1.425908,2.673232,2.839919,4.438460,4.345020,680.130649,580.973644
1,1024,8,0.125085,0.113887,0.244227,0.229730,0.234047,0.238738,0.790851,0.777812,0.771948,0.778107,1.468557,1.514363,2.493732,2.687978,597.411734,668.299639
1,1024,16,0.213771,0.203478,0.433815,0.445769,0.441312,0.446491,1.462647,1.512036,1.483744,1.523611,2.732517,2.886775,4.570944,5.565597,1108.031927,755.944763
1,256,8,0.045772,0.037739,0.091053,0.075033,0.066337,0.112961,0.518563,0.215561,0.294052,0.256391,0.432250,0.813431,0.892101,0.758419,164.259945,213.887240
1,512,4,0.062932,0.046779,0.098708,0.089427,0.089631,0.128022,0.282400,0.267591,0.267697,0.283737,0.502042,0.542925,0.943725,0.788033,179.715660,149.996310
1,500,10,0.088007,0.100084,0.212519,0.200044,0.153140,0.159710,0.546074,0.530006,0.570392,0.495959,0.907810,0.960406,2.139893,1.652504,250.086284,211.963466
1,128,16,0.050056,0.044734,0.079909,0.076024,0.073508,0.084372,0.219812,0.216582,0.229783,0.212933,0.398122,0.392976,0.659368,0.625752,77.925059,70.837009
1,128,32,0.074196,0.064085,0.134474,0.363160,0.196153,0.205996,0.657271,0.582391,0.720441,0.712941,0.874600,1.188082,1.313493,1.983182,203.939273,287.148872
1,256,8,0.048312,0.040082,0.133468,0.164104,0.078546,0.101479,0.518185,0.261958,0.363647,0.404041,0.585800,0.691894,0.931159,0.768135,189.573661,149.237139
1,300,12,0.076388,0.074488,0.119117,0.247152,0.296148,0.138259,0.857294,0.395463,0.378111,0.510059,0.793743,0.836308,1.474154,3.069040,324.714560,144.695158
1,100,50,0.092964,0.094824,0.133387,0.261500,0.146758,0.241938,0.517333,0.870103,0.618737,0.735669,1.380427,1.837117,3.000379,2.308273,207.403431,153.063423
1,30,100,0.049885,0.052252,0.151646,0.154581,0.120674,0.111363,0.319802,0.317498,0.712348,1.107410,0.623986,0.641949,1.922539,0.918065,108.673233,109.249157
1,200,50,0.176758,0.129994,0.422235,0.482706,0.504469,0.385064,1.520966,0.850778,1.199594,0.963740,4.916567,2.230283,4.634017,6.700086,239.214440,549.109009
1,300,30,0.154767,0.101916,0.251694,0.304306,0.375540,0.264223,1.669581,1.911543,2.356469,1.237717,2.973195,2.125799,4.551602,6.512806,941.096437,738.195068
1,10,200,0.058369,0.040129,0.077845,0.107119,0.094509,0.053411,0.326571,0.263151,0.281079,0.382894,0.745304,0.465296,0.967502,1.388267,52.788968,110.204996
1,128,8,0.062409,0.071305,0.149104,0.130625,0.134932,0.175194,0.572806,1.116015,1.012635,0.491704,1.456910,1.005583,2.703758,2.103656,307.787500,618.124431
1,64,8,0.051536,0.042821,0.169753,0.101206,0.162137,0.146021,0.368843,0.611441,0.408892,0.545594,1.061147,1.671162,1.739952,0.933082,213.853282,441.376235
1,32,16,0.135972,0.083966,0.107245,0.112758,0.129579,0.188293,0.309662,0.482290,0.452122,0.317639,0.547081,0.571246,1.956965,1.425479,400.871643,411.927820
1,3,4,0.010405,0.011414,0.012615,0.020897,0.017398,0.013848,0.024071,0.022322,0.027022,0.021465,0.031802,0.028685,0.037252,0.040669,1.992935,2.277512
1,256,8,0.149027,0.151535,0.333181,0.320003,0.318352,0.317570,1.178000,1.225127,1.110138,1.098028,2.273671,1.947028,3.405795,3.383488,580.152321,1022.048620
0.800000,128,4,0.025334,0.019721,0.031824,0.026974,0.036297,0.031902,0.049161,0.051569,0.051584,0.051374,0.066659,0.066268,0.103379,0.087174,10.036037,20.358197
0.800000,256,4,0.025739,0.024980,0.050436,0.039434,0.038197,0.059672,0.084101,0.068543,0.065410,0.078634,0.111811,0.102102,0.152116,0.156274,20.451059,42.306471
0.900000,512,8,0.049614,0.052485,0.087492,0.077480,0.084631,0.103939,0.163443,0.142712,0.150292,0.143913,0.240882,0.231302,0.342624,0.369905,48.342644,86.159048
0.900000,1024,8,0.083754,0.085581,0.138138,0.120098,0.118146,0.157626,0.271572,0.263935,0.260664,0.257326,0.416592,0.424032,0.632134,0.713778,104.996613,212.852162
0.900000,1024,16,0.128544,0.125184,0.205257,0.186369,0.183071,0.243230,0.406610,0.415251,0.391867,0.390174,0.621882,0.618466,0.935129,0.942187,140.662371,218.421613
1.000000,1024,16,0.131697,0.127377,0.209802,0.194041,0.193467,0.260253,0.411067,0.401163,0.384234,0.400479,0.630514,0.619388,0.940976,0.958671,139.359414,228.085569
1.000000,1024,32,0.200699,0.192052,0.288218,0.295302,0.286995,0.408491,0.642724,0.647459,0.637364,0.654627,0.995275,1.018369,1.503446,1.426600,191.147863,308.233987
0.900000,32,128,0.040098,0.036098,0.055786,0.062017,0.050260,0.064493,0.092504,0.099490,0.108251,0.129112,0.163229,0.147202,0.189150,0.191181,15.778818,22.022342
0.900000,512,32,0.085969,0.092287,0.141374,0.139941,0.139248,0.185507,0.280459,0.287975,0.288423,0.366449,0.494369,0.479040,0.672044,0.669988,96.285791,146.863589
0.900000,256,64,0.130179,0.074043,0.206147,0.281843,0.193219,0.255006,0.426963,0.453503,0.333727,0.503227,0.977953,0.532019,0.977993,0.799055,126.584172,242.665212
